name,jobs,country
ASL 19,<https://asl19.org/en/about.html>,CA
Access Now,<https://www.accessnow.org/content-type/jobs-and-internships>,WW
Berkman Klein Center,<https://cyber.harvard.edu/getinvolved/jobs>,US
Center for Democracy & Technology,<https://cdt.org/careers/>,US
Citizen Lab,<https://citizenlab.org/opportunities/>,CA
Electronic Frontier Foundation,<https://www.eff.org/about/opportunities/jobs>,US
First Look Media,<https://www.firstlook.media/careers>,US
Freedom of Press Foundation,<https://freedom.press/jobs/>,US
Greenhost,<https://greenhost.net/about-us/working-at-greenhost/>,NL
Internews,<https://www.internews.org/careers>,US
Let's Encrypt,<https://letsencrypt.org/jobs/>,US
Mozilla,<https://careers.mozilla.org/listings/>,US
Mullvad,<https://www.mullvad.net>,SE
Open Whisper Systems,<https://whispersystems.org/workworkwork/>,US
Privacy International,<https://www.privacyinternational.org/node/78>,UK
ProPublica,<https://www.propublica.org/about/jobs>,US
Proton Technologies,<https://protonmail.com/careers>,CH
Psiphon,,<https://psiphon.ca>,CA
Simply Secure,<https://simplysecure.org/hiring/>,US
Tactical Technology Collective,<https://tacticaltech.org/jobs>,DE
Team Cymru,<https://www.team-cymru.org/about-us.html>,US
The Tor Project,<https://www.torproject.org/about/jobs.html.en>,US
Thoughtworks,<https://www.thoughtworks.com/careers/browse-jobs>,US
Wikimedia Foundation,<https://wikimediafoundation.org/wiki/Work_with_us>,US
